Tupp klinhom,รอดำเนินการ,วินมอเตอร์ไซค์ไม่ดี,รถวิ่งเร็วมาก น่ากลัวมากครับ;ไม่มีหมวกกันน็อคด้วยครับ,สำนักงานคุณภาพและบริหารความเสี่ยง,4,20-10-2022 22:34:31,ยังไม่ระบุ,-|tuppk|wk|yaya|kirito
Tupp klinhom,รอดำเนินการ,ไม่มีคนเฝ้าเคาน์เตอร์,ไม่มีเจ้าหน้าที่เฝ้าเคาท์เตอร์เลยครับ หาคนมาดูแลหน่อยครับ;ขอบคุณครับ,กองการเจ้าหน้าที่,5,21-10-2022 00:48:26,ยังไม่ระบุ,-|tuppk|wk|yaya|kirito|kkwan
Tupp klinhom,รอดำเนินการ,เสียงดัง,มีนิสิตเสียงดังข้างๆตึกวิทย์ครับ,กองกิจการนิสิต,3,21-10-2022 00:49:44,ยังไม่ระบุ,-|wk|yaya|kirito
Tupp klinhom,รอดำเนินการ,มีคนเล่นฟุตบอลไม่เป็นที่,มีคนเล่นฟุตบอลตรงที่ห้ามเล่นหน้าตึกวิทย์ครับ,กองกิจการนิสิต,2,21-10-2022 00:50:30,ยังไม่ระบุ,-|wk|kirito
Tupp klinhom,รอดำเนินการ,สระว่ายน้ำพัง,มีขอบสระแตกตรงริมใกล้ๆบันไดครับ ,สำนักการกีฬา,2,21-10-2022 00:51:40,ยังไม่ระบุ,-|wk|yaya
Tupp klinhom,รอดำเนินการ,เงินสนับสนุนชมรมไม่พอ,เงินสนับสนุนไม่พอครับ มีไม่มีเงินไปทำกิจกรรมแล้วครับ,กองคลัง,1,21-10-2022 00:52:40,ยังไม่ระบุ,-|kkwan
Tupp klinhom,รอดำเนินการ,มีการจัดกิจกรรมที่รบกวนคนอื่น,มีกิจกรรมหน้าคณะวิศวะที่เสียงดังครับ,กองแผนงาน,3,21-10-2022 00:57:36,ยังไม่ระบุ,-|wk|tuppk|yaya
Tupp klinhom,รอดำเนินการ,ถนนไม่ดี,ถนนน้ำท่วมทุกครั้งเวลาฝนตก,สำนักงานคุณภาพและบริหารความเสี่ยง,0,21-10-2022 02:25:32,ยังไม่ระบุ,-
Thanaporn Saelim,รอดำเนินการ,ยามน่ากลัว,ยามตรงแถวๆซอยหน้าคณะวิทย์ น่ากลัวมากเลยค่ะ ช่วยดูให้หน่อยค่ะ,กองการเจ้าหน้าที่,3,21-10-2022 03:09:06,ยังไม่ระบุ,-|wk|yaya|kirito
Thanaporn Saelim,รอดำเนินการ,เสียงดังในห้องสมุด,ช่วยจัดการกับนิสิตที่เสียงดังในห้องสมุดด้วยค่ะ,กองการเจ้าหน้าที่,0,21-10-2022 03:09:53,ยังไม่ระบุ,-
Thanaporn Saelim,รอดำเนินการ,รถตะลัยไม่พอ,ช่วยจัดรถตะลัยให้มากขึ้นด้วยค่ะ รอแต่ละครั้ง รอนานมากๆ,กองแผนงาน,0,21-10-2022 03:10:32,ยังไม่ระบุ,-
Thanaporn Saelim,รอดำเนินการ,ร้านอาหารแพง,ร้านอาหารแพงมากๆเลยค่ะ ช่วยควบคุมราคาอาหารให้ถูกลงหน่อย,กองคลัง,2,21-10-2022 03:11:18,ยังไม่ระบุ,-|tuppk|yaya
Thanaporn Saelim,รอดำเนินการ,ทางม้าลายจาง,ทางม้าลายมันจางมากๆ แทบจะไม่เห็นแล้ว บริเวณหน้าคณะมนุษย์,สำนักงานคุณภาพและบริหารความเสี่ยง,1,21-10-2022 03:12:12,ยังไม่ระบุ,-|wk
Thanaporn Saelim,รอดำเนินการ,คนขับรถเร็ว,มีคนขับรถเร็วมากๆบนถนนใหญ่ค่ะ เป็นอันตรายมากๆ ;ช่วยจัดการให้หน่อยค่ะ,กองการเจ้าหน้าที่,0,21-10-2022 03:13:03,ยังไม่ระบุ,-
Chayapol phadungcheewit,รอดำเนินการ,รถติด,ช่วยจัดการรถให้ดีหน่อยครับ มีรถจอดข้างทางเยอะ รถติดมากๆ,สำนักงานคุณภาพและบริหารความเสี่ยง,0,21-10-2022 03:16:26,ยังไม่ระบุ,-
Chayapol phadungcheewit,รอดำเนินการ,น้ำท่วม,น้ำท่วมง่ายมากๆ ครับ เดินทางลำบากมาก,กองแผนงาน,0,21-10-2022 03:18:20,ยังไม่ระบุ,-
Chayapol phadungcheewit,รอดำเนินการ,มีวัตถุร่วงจากตึก,มีเศษอะไรบางอย่างจากหลังคาร่วงลงมาจากหลังคาตึก;แถวๆคณะวิทย์ครับ,สำนักงานคุณภาพและบริหารความเสี่ยง,0,21-10-2022 03:20:57,ยังไม่ระบุ,-
Chayapol phadungcheewit,รอดำเนินการ,กรวยในสนามฟุตบอลหาย,กรวยสำหรับซ้อมมันหายไปบางส่วน จัดการด้วยครับ,สำนักการกีฬา,0,21-10-2022 03:25:31,ยังไม่ระบุ,-
Chayapol phadungcheewit,รอดำเนินการ,ยังไม่ได้เงินสนับสนุนการเรียน,เพื่อนได้เงินสนับสนุนการเรียนกันหมดแล้ว แต่ผมยังไม่ได้เลย;ช่วยตามให้หน่อยครับ,กองกิจการนิสิต,0,21-10-2022 03:31:55,ยังไม่ระบุ,-
Chayapol phadungcheewit,รอดำเนินการ,ม้านั่งพัง,ม้านั่งพังแถวๆหน้า ศร. 2 ครับ,สำนักงานคุณภาพและบริหารความเสี่ยง,0,21-10-2022 03:35:03,ยังไม่ระบุ,-
Tupp klinhom,รอดำเนินการ,ป้ายรถตะลัยหลังคาเป็นรู,ป้ายตรงฝั่งด้านหน้า ศร.4 เป็นรูรั่วครับ,สำนักงานคุณภาพและบริหารความเสี่ยง,0,21-10-2022 03:37:41,ยังไม่ระบุ,-
